rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,High Tension 2.0,Dangbana Republik,1,1,1,1,1,1,3,1.285714286
2,Clone Wars Vol. 5 (- The Algorhythm),Show Dem Camp,2,2,2,2,2,12,6,4
3,UY Scuti,Olamide,9,5,3,4,4,2,17,6.285714286
4,LV N ATTN,Lojay,8,3,5,3,3,31,8,8.714285714
5,A True Champion,Rexxie,3,4,4,10,10,13,24,9.714285714
6,Made In Lagos,Wizkid,6,11,14,8,8,26,5,11.14285714
7,Twice As Tall,Burna Boy,7,10,6,34,34,11,29,18.71428571
8,Hall of Fame,POLO G,10,62,22,20,20,9,10,21.85714286
9,PANDEMIC,Ruger,5,16,55,6,6,4,68,22.85714286
10,The Voice of the Heroes,Lil Baby,65,64,20,28,28,16,36,36.71428571
11,Planet Her (Deluxe),Doja Cat,12,14,31,61,61,18,60,36.71428571
12,Ayo,Wizkid,32,13,35,88,88,28,19,43.28571429
13,Space Jam: A New Legacy (Original Motion Picture Soundtrack),Various Artists,16,301,12,19,19,8,7,54.57142857
14,A Good Time,DaVido,37,6,29,13,13,5,301,57.71428571
15,WONDALAND,Teni,29,75,301,5,5,20,26,65.85714286
16,Wild West,Central Cee,17,33,36,21,21,33,301,66
17,Somewhere Between Beauty & Magic,Joeboy,30,76,301,7,7,14,41,68
18,African Giant,Burna Boy,45,82,301,12,12,6,18,68
19,Justice,Justin Bieber,74,25,301,15,15,30,31,70.14285714
20,Old Church Basement,Elevation Worship,301,94,53,16,16,49,67,85.14285714
21,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,34,29,27,301,301,19,9,102.8571429
22,Culture III,Migos,301,61,21,9,9,22,301,103.4285714
23,CLOUDS (THE MIXTAPE),NF,301,301,9,14,14,48,62,107
24,Death Race For Love,Juice Wrld,39,301,24,17,17,56,301,107.8571429
25,High Tension,Bella Shmurda,36,301,7,38,38,35,301,108
26,USEE4YOURSELF,IDK,11,9,84,26,26,301,301,108.2857143
27,CALL ME IF YOU GET LOST,"Tyler, The Creator",25,59,43,27,27,301,301,111.8571429
28,Sex Over Love,Blaqbonez,13,24,13,67,67,301,301,112.2857143
29,PSYCHODRAMA,Dave,22,8,301,49,49,57,301,112.4285714
30,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,301,83,17,36,36,63,301,119.5714286
31,Boo of the Booless,Chike,301,301,34,55,55,78,47,124.4285714
32,SoundMan Vol. 1,Starboy,301,35,301,71,71,77,46,128.8571429
33,Afro Pop Vol. 1,Adekunle Gold,83,27,301,77,77,37,301,129
34,?,XXXTentacion,99,301,73,43,43,301,58,131.1428571
