rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Hall of Fame,POLO G,2,2,2,2,2,3,3,2.285714286
2,JORDI (Deluxe),Maroon 5,3,4,3,4,7,4,4,4.142857143
3,The Voice of the Heroes,Lil Baby,4,3,4,5,4,7,7,4.857142857
4,LV N ATTN,Lojay,8,5,9,3,3,5,5,5.428571429
5,PANDEMIC,Ruger,5,6,12,6,5,8,8,7.142857143
6,Culture III,Migos,1,57,1,1,1,1,2,9.142857143
7,Made In Lagos,Wizkid,12,16,10,10,14,12,12,12.28571429
8,Somewhere Between Beauty & Magic,Joeboy,10,26,25,7,11,11,11,14.42857143
9,Sex Over Love,Blaqbonez,17,24,5,23,9,15,15,15.42857143
10,The Off-Season,J. Cole,11,13,8,8,50,14,14,16.85714286
11,African Giant,Burna Boy,34,20,19,30,40,20,20,26.14285714
12,KHALED KHALED,DJ Khaled,16,98,31,11,19,22,22,31.28571429
13,Superstar,Wizkid,6,8,6,20,27,89,89,35
14,Twice As Tall,Burna Boy,59,74,23,44,10,19,19,35.42857143
15,Goodbye & Good Riddance (Anniversary Edition),Juice Wrld,26,96,63,62,82,40,40,58.42857143
16,Shockwave,Marshmello,14,12,7,301,18,41,41,62
17,Wild West,Central Cee,24,69,26,301,6,17,17,65.71428571
18,Big Conspiracy,J Hus,48,29,20,29,301,30,30,69.57142857
19,WONDALAND,Teni,18,47,301,69,21,43,43,77.42857143
20,Death Race For Love,Juice Wrld,30,301,45,85,25,33,33,78.85714286
21,Anthems & Glory (Live),Todd Dulaney,21,10,11,64,301,91,91,84.14285714
22,ASTROWORLD,Travis Scott,31,52,301,73,76,50,50,90.42857143
23,SOUR,Olivia Rodrigo,15,9,14,301,301,9,9,94
24,Happy Birthday Kodak,Kodak Black,7,11,301,12,301,21,21,96.28571429
25,A Better Time,DaVido,29,18,27,9,13,301,301,99.71428571
26,Destined 2 Win,Lil Tjay,27,301,301,13,20,45,45,107.4285714
27,The Human Condition,Jon Bellion,301,31,15,17,301,59,59,111.8571429
28,Legends Never Die,Juice Wrld,39,73,301,301,60,13,13,114.2857143
29,SoulFly,Rod Wave,41,66,301,301,52,25,25,115.8571429
30,Before the Chaos-EP,Erigga,47,301,301,22,48,53,53,117.8571429
31,Justice,Justin Bieber,88,301,301,68,56,10,10,119.1428571
32,THE ANGEL YOU DON'T KNOW,amaarae,301,71,301,43,86,27,27,122.2857143
33,ROOTS,The Cavemen.,301,301,24,75,8,74,74,122.4285714
34,The Highlights,The Weeknd,28,65,301,301,59,66,66,126.5714286
35,Hopeless Romantic,Tomi Thomas,301,37,39,301,47,90,90,129.2857143
36,SoundMan Vol. 1,Starboy,83,30,49,301,301,81,81,132.2857143
37,\u00f7 (Deluxe),Ed Sheeran,68,34,67,301,301,86,86,134.7142857
38,Outside,Burna Boy,73,86,17,301,301,84,84,135.1428571
39,PSYCHODRAMA,Dave,301,51,301,301,26,34,34,149.7142857
40,Old Church Basement,Elevation Worship,54,7,60,24,301,301,301,149.7142857
41,Scam,G4 Boyz,60,21,301,63,31,301,301,154
42,Chronicles of CORIZO,Corizo,301,301,68,301,30,39,39,154.1428571
43,High Tension,Bella Shmurda,301,301,48,79,301,31,31,156
44,Ayo,Wizkid,301,58,301,18,301,60,60,157
45,Best Of Davido,DaVido,65,301,64,52,24,301,301,158.2857143
46,The Search,NF,301,301,90,51,301,35,35,159.1428571
47,What Have We Done,Omah lay,301,14,59,301,301,70,70,159.4285714
48,ADHD,Joyner Lucas,37,301,301,38,301,78,78,162
49,Strings And Bling,Nasty C,74,38,301,76,45,301,301,162.2857143
50,?,XXXTentacion,301,301,301,39,28,85,85,162.8571429
51,Cultural Praise,KCee,301,64,61,66,55,301,301,164.1428571
52,Yellow,Brymo,301,301,73,47,301,76,76,167.8571429
53,Get Layd,Omah lay,301,17,301,78,301,100,100,171.1428571
54,Spiral: From The Book of Saw Soundtrack,21 Savage,301,97,301,301,51,87,87,175
55,APOLLO,Fireboy Dml,301,301,301,14,301,23,23,180.5714286
56,Product of My Environment,Abra Cadabra,301,27,301,25,12,301,301,181.1428571
57,Zulu Man With Some Power,Nasty C,301,28,301,301,301,18,18,181.1428571
58,While The World Was Burning,SAINt JHN,301,301,301,301,23,26,26,182.7142857
59,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,301,301,18,19,41,301,301,183.1428571
60,Boyfriend,CKay,301,68,301,301,301,16,16,186.2857143
