Position,album,artist
1,UY Scuti,Olamide
2,High Tension 2.0,Dangbana Republik & Bella Shmurda
3,Made in Lagos,Wizkid
4,A True Champion,Rexxie
5,High Tension EP,Bella Shmurda
6,Somewhere Between Beauty & Magic,Joeboy
7,APOLLO,Fireboy DML
8,WONDALAND,Teni
9,Carpe Diem,Olamide
10,What Have We Done,Omah Lay
11,Rema Compilation,Rema
12,Twice As Tall,Burna Boy
13,THE GOAT,Polo G
14,A Better Time,Davido
15,Get Layd,Omah Lay
16,"Laughter, Tears & Goosebumps",Fireboy DML
17,Please Excuse Me for Being Antisocial,Roddy Ricch
18,Sex Over Love,Blaqbonez
19,LIGHT (The EP),MohBad
20,High Off Life,Future
21,Chrome Eccentric Ep,Zinoleesky
22,Man Of Galilee,Judikay
23,Life of Betrayal 2x,Yungeen Ace
24,The Golden Boy,KiDi
25,Gratitude,Timaya
26,Rum & Boogie,Peruzzi
27,Afro Pop Vol. 1,Adekunle Gold
28,LV N ATTN,Lojay & Sarz
29,Welcome to O'Block,King Von
30,Boyfriend,CKay
31,I'll Say It For You,Dax
32,Twelve A.M,Crayon
33,NEW ERA,Kiss Daniel
34,Superstar,Wizkid
35,Cultural Praise,Kcee & Okwesili Eze Group
36,Love & Light,Joeboy
37,TOP PRIZE,ALKALINE
38,Shiesty Season,Pooh Shiesty
39,Off The Yak,Young M.A
40,Boo of the Booless,Chiké
41,Shottaz 4Eva,MO3
42,King Of Love,Kizz Daniel
43,Simisola,Simi
44,Razor,Cheque
45,A Good Time,Davido
46,Simisola (Deluxe),Simi
47,Hot Pink,Doja Cat
48,Three,Patoranking
49,Soundgod Fest Vol.1,Runtown
50,For Broken Ears,Tems
51,Bad Commando,Rema
52,Top,YoungBoy Never Broke Again
53,TattleTales,6ix9ine
54,Culture,Migos
55,...Shall We Begin...,Laycon
56,7,Lil Nas X
57,Deal with It,Phyno
58,Omo Charlie Champagne Vol1,Simi
59,Herstory in the Making,Young M.A
60,The Message,Minister GUC
61,Lil Durk Presents: Loyal Bros,Only The Family
62,SAVAGE MODE II,21 Savage & Metro Boomin
63,Masta Groove,Masterkraft
64,The Cross: My Gaze,Mercy Chinwo
65,Pluto x Baby Pluto,Future & Lil Uzi Vert
66,Twice As Tall,Burna Boy
67,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
68,Wild West,Central Cee
69,Know You,Ladipoe
70,Chulo Vibes,Timaya
71,Shiesty Season - Spring Deluxe,Pooh Shiesty
72,Haitian Boy Kodak,Kodak Black
73,Hoodie SZN,A Boogie Wit Da Hoodie
74,Billionaire,Teni
75,Happy Birthday Kodak,Kodak Black
76,What Have We Done,Omah Lay
77,OXYGENE,Oxlade
78,Trap Symphony EP,Roddy Ricch
79,I Love Girls With Trobul,Sarz X WurlD
80,Alagbe,Qdot
81,Hakuna Matata,Dotman
82,TIME,Yaw Tog
83,SoundGod Fest Reloaded,Runtown
84,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
85,L.O.V.E.,Luh Kel
86,PINK PLANET,Pink Sweat$
87,Rema Freestyle EP,Rema
88,SATISFIED,Mercy Chinwo
89,Mixed Emotions,Luh Kel
90,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
91,Something Else,Mr Eazi
92,Realms,Wande Coal
93,Levon James,King Von
94,Good News,Megan Thee Stallion
95,S.C.A.M,G4 Boyz
96,The Prince I Became,Ric Hassani
97,Off The Record,Reekado Banks
98,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
99,Afrodisíaco,Rauw Alejandro
100,The Beauty of Becoming,Rotimi
101,LOL (Lord of Lamba),Naira Marley
102,L.O.V.E. (Deluxe),Luh Kel
103,Clone Wars Vol. 5 - The Algorhythm,Show Dem Camp
104,PTSD,G Herbo
105,So Much Fun,Young Thug
106,Nicotine,Trevor Daniel
107,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
108,Slime Language 2,"Young Stoner Life, Young Thug & Gunna"
109,The Palmwine Express,Show Dem Camp
110,Top Shotta,NLE Choppa
111,ZaZa Vibes,L.A.X
112,Building Bridges,Smallgod
113,Dance with You,"Camidoh, Kwesi Arthur"
114,23 Is Back,JayDaYoungan
115,Roots,NSG
116,Dum and Dummer 2,Young Dolph & Key Glock
117,Afro Streets,Rexxie
118,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
119,On God II,Big Yavo
120,Seed,Gyakie
121,T R A P S O U L (Deluxe),Bryson Tiller
122,Trap Symphony EP,Burna Boy
123,Anloga Junction,Stonebwoy
124,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
125,CITIZEN OF THE WORLD,King Perryy
126,6locc 6a6y,Lil Loaded
127,Viral Infection 1.0,Ayanfe Viral
128,My Letter To You Riddim,Various Artists
129,Aje (The Mixtape),Jaywon
130,Honorable,Hotkid
131,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
132,Empress,Yemi Alade
133,The Backend Child,NoCap
134,USEE4YOURSELF,IDK
135,The Idea Of Her,Ali Gatie
136,Yabasi,Basketmouth
137,Misunderstood,JayDaYoungan
138,A Boy From Tandale,Diamond Platnumz
139,Legendary,Tyga
140,WUNNA,Gunna
141,RESTLESS II,Simi
142,Ice Daddy,Gucci Mane
143,Taste EP,Nandy
144,Space and Time,Justine Skye
145,Trench Baby (Deluxe Edition),Lil Zay Osama
146,Wildboy,Calboy
147,Leave Some Day (Muney Mix),Kevo Muney
148,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur
149,The Prodigy,Skillibeng
150,Kut Da Fan On,HOTBOII
151,Jackboy,Jackboy
152,Only The Generals Part II,Kevin Gates
153,Big Grim Reaper,Big Scarr
154,YOU,Ali Gatie
155,Homesick,Trevor Daniel
156,Trench Baby,Lil Zay Osama
157,Kommunity Service,YG & Mozzy
158,RoadToCDK,Zlatan
159,Too Late Too Lit,KDDO
160,Greatest Lord,SINACH
161,Living In History,Jackboy
162,Original Copy,Cuppy
163,Ecstasy,Lil Kesh
164,PERFECT PICTURE,Dremo
165,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu
166,Upside Down 2020,Buju Banton
167,"Grandson, Vol. 1",King Von
168,We All Shine,YNW Melly
169,RETURN OF OKOMFO ANOKYE,Jay Bahd
170,Table For Two,Korede Bello
171,Cray Cray,Crayon
172,Black Love,Sarkodie
