Position,artist,album
1,Migos,Culture III
2,Polo G,Hall of Fame
3,Lojay & Sarz,LV N ATTN - EP
4,Lil Baby & Lil Durk,The Voice of the Heroes
5,Wizkid,Made In Lagos
6,J. Cole,The Off-Season
7,Ruger,PANDEMIC - EP
8,Kodak Black,Happy Birthday Kodak - EP
9,Blaqbonez,Sex Over Love
10,Burna Boy,Twice As Tall
11,Maroon 5,JORDI (Deluxe)
12,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
13,Elevation Worship & Maverick City Music,Old Church Basement
14,Joeboy,Somewhere Between Beauty & Magic
15,The Cavemen.,Roots
16,Pi\'erre Bourne,The Life Of Pi\'erre 5
17,Laycon,...Shall We Begin...
18,Chike,Boo of the Booless
19,Davido,A Better Time
20,Teni,WONDALAND
21,KCee & Okwesili Eze Group,Cultural Praise
22,Olivia Rodrigo,SOUR
23,DJ Khaled,KHALED KHALED
24,Judikay,Man of Galilee
25,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
26,Post Malone,Hollywood\'s Bleeding
27,Kodak Black,Haitian Boy Kodak
28,Amaarae,THE ANGEL YOU DON\'T KNOW
29,The Weeknd,After Hours (Deluxe Video Album)
30,Burna Boy,African Giant
31,Fireboy DML,APOLLO
32,KDDO,TOO LATE TOO LIT (EP)
33,Tems,For Broken Ears
34,Bella Shmurda,High Tension
35,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
36,J Hus,Big Conspiracy
37,Tomi Thomas,Hopeless Romantic - EP
38,Lil Durk,The Voice (Deluxe)
39,Rod Wave,SoulFly
40,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
41,Dunsin Oyekan,The Gospel of the Kingdom
42,Basketmouth,Yabasi
43,Peruzzi,Rum & Boogie
44,CKay,Boyfriend
45,Nicki Minaj,Beam Me Up Scotty
46,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
47,Erigga,Before the Chaos-EP
48,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
49,Roddy Ricch,Please Excuse Me For Being Antisocial
50,Juice WRLD,Legends Never Die (Video Version)
51,Omah Lay,What Have We Done - EP
52,Olamide,Carpe Diem
53,Travis Scott,ASTROWORLD
54,Fireboy DML,"Laughter, Tears & Goosebumps"
55,Omah Lay,Get Layd - EP
56,Central Cee,Wild West
57,Dremo & Jeriq,Ea$t N We$t - EP
58,Wizkid,Ayo
59,Polo G,THE GOAT
60,6LACK,East Atlanta Love Letter
61,Lil Baby,My Turn (Deluxe)
62,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
63,Mercy Chinwo,SATISFIED
64,Todd Dulaney,Anthems & Glory (Live)
65,Pop Smoke,Meet the Woo 2 (Deluxe)
66,King Perryy,Citizen of the World
67,Oxlade,OXYGENE - EP
68,Young M.A,Off the Yak
69,GIVĒON,When It's All Said And Done... Take Time
70,SAINt JHN,Ghetto Lenny's Love Songs
71,Burna Boy,Outside
72,Gunna,WUNNA (Deluxe)
73,SAINt JHN,While the World Was Burning
74,Abra Cadabra,Product of My Environment
75,Davido,A Good Time
76,Jorja Smith,Be Right Back
77,Lil Baby & Lil Durk,The Voice of the Heroes
78,Billie Eilish,Happier Than Ever
79,Ayra Starr,Ayra Starr - EP
80,J. Cole,2014 Forest Hills Drive
81,Santi,Mandy & The Jungle
82,AURORA,All My Demons Greeting Me as a Friend
83,Minister GUC,The Message
