Position,artist,album
1,Olamide,UY Scuti
2,Lojay & Sarz,LV N ATTN - EP
3,Wizkid,Made In Lagos
4,Lil Baby & Lil Durk,The Voice of the Heroes
5,Ruger,PANDEMIC - EP
6,Rexxie,A True Champion
7,Migos,Culture III (Deluxe)
8,Doja Cat,Planet Her (Deluxe)
9,Burna Boy,Twice As Tall
10,Polo G,Hall of Fame
11,J. Cole,The Off-Season
12,Teni,WONDALAND
13,Blaqbonez,Sex Over Love
14,Chike,Boo of the Booless
15,The Cavemen.,Roots
16,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
17,Joeboy,Somewhere Between Beauty & Magic
18,Mizzle,In The Dark
19,Burna Boy,African Giant
20,Masterkraft,Masta Groove
21,Davido,A Better Time
22,DJ Khaled,KHALED KHALED
23,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
24,"Tyler, The Creator",CALL ME IF YOU GET LOST
25,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
26,Elevation Worship & Maverick City Music,Old Church Basement
27,KCee & Okwesili Eze Group,Cultural Praise
28,Dangbana Republik & Bella Shmurda,High Tension 2.0
29,Laycon,...Shall We Begin...
30,Judikay,Man of Galilee
31,Lil Durk,The Voice (Deluxe)
32,Tems,For Broken Ears
33,Olivia Rodrigo,SOUR
34,Fireboy DML,APOLLO
35,Wizkid,Superstar
36,J Hus,Big Conspiracy
37,Dunsin Oyekan,The Gospel of the Kingdom
38,Bella Shmurda,High Tension
39,G Herbo,25
40,The Weeknd,After Hours
41,Roddy Ricch,Please Excuse Me For Being Antisocial
42,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
43,Lil Baby,My Turn (Deluxe)
44,Travis Scott,ASTROWORLD
45,Post Malone,Hollywood\'s Bleeding
46,Ayo Jay,Wonder Shall Never End - EP
47,Fireboy DML,"Laughter, Tears & Goosebumps"
48,Omah Lay,Get Layd - EP
49,Maverick City Music,Jubilee: Juneteenth Edition
50,Rod Wave,SoulFly
51,Basketmouth,Yabasi
52,Peruzzi,Rum & Boogie
53,KDDO,TOO LATE TOO LIT (EP)
54,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
55,Omah Lay,What Have We Done - EP
56,SAINt JHN,Ghetto Lenny's Love Songs
57,CKay,Boyfriend
58,Olamide,Carpe Diem
59,Juice WRLD,Legends Never Die (Video Version)
60,Pop Smoke,Meet the Woo 2 (Deluxe)
61,Wizkid,Ayo
62,Burna Boy,Outside
63,Jaywillz,Love or the Word (EP)
64,Maroon 5,JORDI (Deluxe)
65,H.E.R.,Back of My Mind (Apple Music Edition)
66,Amaarae,THE ANGEL YOU DON'T KNOW
67,Davido,A Good Time
68,Gunna,WUNNA (Deluxe)
69,Kodak Black,Haitian Boy Kodak
70,Abra Cadabra,Product of My Environment
71,Polo G,THE GOAT
72,SAINt JHN,While the World Was Burning
73,Erigga,Before the Chaos-EP
74,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
75,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
76,Nicki Minaj,Beam Me Up Scotty
77,Central Cee,Wild West
78,Jesse Jagz,"Jagz Nation, Vol.1: Thy Nation Come"
79,Toosii,Platinum Heart (Deluxe)
80,Dremo & Jeriq,Ea$t N We$t - EP
81,Ayra Starr,Ayra Starr - EP
82,Oxlade,OXYGENE - EP
83,Mercy Chinwo,SATISFIED
84,Wizkid,Sounds From the Other Side
85,Future,High Off Life
86,Young Thug,BEAUTIFUL THUGGER GIRLS
87,Minister GUC,The Message
88,Moneybagg Yo,A Gangsta's Pain
89,6LACK,East Atlanta Love Letter
90,Show Dem Camp,The Palmwine Express
91,Kida Kudz,TOP MEMBA
92,GIVĒON,When It's All Said And Done... Take Time
93,YoungBoy Never Broke Again,Top
94,Nasty C,Zulu Man With Some Power
95,Dave,PSYCHODRAMA
96,Santi,Mandy & The Jungle
97,J Hus,Common Sense
98,"Limoblaze, Marizu, CalledOut Music, Sam Rivera, Asha Elia, CASS & Ada Ehi",God's Favourite Baby
99,Juice WRLD,Death Race for Love
100,Jeriq,Hood Boy Dreams - EP
101,Lil Tjay,Destined 2 Win
102,Nathaniel Bassey,The King Is Coming
103,Roddy Ricch,Feed Tha Streets ll
104,J. Cole,2014 Forest Hills Drive
105,Jhené Aiko,Chilombo (Deluxe Video Version)
106,Brymo,Yellow
107,Post Malone,beerbongs & bentleys
108,Sam Smith,Love Goes
109,Adekunle Gold,"Afro Pop, Vol. 1"
110,AURORA,All My Demons Greeting Me as a Friend
111,Nasty C,Strings and Bling
112,Polo G,Die a Legend
113,Drake,Dark Lane Demo Tapes
114,Summer Walker,Over It
115,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
116,Drake,Views
117,Kodak Black,Dying to Live
118,Drake,Scorpion
119,Young M.A,Off the Yak
120,Asa,ASA (Asha) [Deluxe Edition]
121,Tope Alabi,Yes and Amen
122,Drake,Take Care (Deluxe Version)
123,Sia,This Is Acting (Deluxe Version)
124,SAINt JHN,Collection One
125,Don Toliver,Heaven Or Hell
126,Spinall,"Afromix, Ep. 1 (DJ Mix)"
127,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
128,Sola Allyson,ÌRÌ (The Album Live)
129,Drake,Nothing Was the Same (Deluxe)
130,21 Savage & Metro Boomin,SAVAGE MODE II
131,Khalid,Free Spirit
132,Jon Bellion,The Human Condition
133,NSG,Roots
134,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
135,Internet Money,B4 The Storm
136,Layzee Ella,When The Lights Go Off - EP
137,The Weeknd,Beauty Behind the Madness
138,Lil Wayne,Tha Carter V (Deluxe)
139,Blxst,No Love Lost (Deluxe)
140,Ariana Grande,Positions (Deluxe Edition)
141,Rihanna,ANTI (Deluxe)
142,The Weeknd,Starboy
143,Sarz & WurlD,I LOVE GIRLS WITH TROBUL
144,Rod Wave,Pray 4 Love (Deluxe)
145,Zinoleesky,Chrome - EP
146,Billie Eilish,Happier Than Ever
147,Offset,FATHER OF 4
148,Jorja Smith,Be Right Back
149,King Perryy,Citizen of the World
150,Khalid,American Teen
151,M.I Abaga,MI 2: The Movie
152,Chris Brown,Indigo (Extended)
153,Kodak Black,Happy Birthday Kodak - EP
154,Pooh Shiesty,Shiesty Season - Spring Deluxe
155,Future,HNDRXX
156,Tomi Thomas,Hopeless Romantic - EP
157,KiDi,The Golden Boy
158,Yungeen Ace,Life of Betrayal 2x
159,50 Cent,Get Rich or Die Tryin
160,MohBad,Light
161,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
162,Lil Durk,Signed to the Streets 3
163,XXXTENTACION,?
164,21 Savage,i am > i was (Deluxe)
165,Skepta,Ignorance Is Bliss
166,Drake,More Life
167,Nas,It Was Written (Expanded Edition)
168,Post Malone,Stoney (Deluxe)
169,G4 Boyz,Scam - EP
170,Burna Boy,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition)
171,Travis Scott,Birds in the Trap Sing McKnight
172,Bryson Tiller,T R A P S O U L (Deluxe)
173,Beyoncé,The Lion King: The Gift
174,Pi'erre Bourne,The Life Of Pi'erre 5
175,Jack Harlow,Thats What They All Say
176,42 Dugg,Free Dem Boyz
177,Masego,Studying Abroad: Extended Stay
178,Lil Baby,Street Gossip
179,Abra Cadabra,Mixed Emotions - EP
180,Kizz Daniel,King of Love
181,Stormzy,Heavy Is The Head
182,Pop Smoke,Meet the Woo
183,Toosii,Thank You For Believing
184,Gunna,Drip Season 3 (Deluxe)
185,Unfoonk & Young Stoner Life,My Struggle
186,Olakira,4Play - EP
187,Dunsin Oyekan,Kingdom Now
188,Gucci Mane,Ice Daddy
189,Mannywellz,Mirage
190,"Nas & Damian ""Jr. Gong"" Marley",Distant Relatives (Bonus Track Version)
191,The Weeknd,"My Dear Melancholy,"
192,Kendrick Lamar,DAMN.
193,Pa Salieu,Send Them To Coventry
194,Maverick City Music,Maverick City Vol. 3 Part 1
195,Simi,Simisola (Deluxe)
196,K1 De Ultimate,Fuji the Sound - EP
197,SZA,Ctrl
198,JACKBOYS & Travis Scott,JACKBOYS
199,Future & Lil Uzi Vert,Pluto x Baby Pluto (Deluxe)
200,Meek Mill,Wins & Losses (Deluxe)
