Position,artist,album
1,Migos,Culture III
2,POLO G,Hall of Fame
3,Lojay,LV N ATTN
4,Lil Baby,The Voice of the Heroes
5,Ruger,PANDEMIC
6,Central Cee,Wild West
7,Maroon 5,JORDI (Deluxe)
8,The Cavemen.,ROOTS
9,Blaqbonez,Sex Over Love
10,Burna Boy,Twice As Tall
11,Joeboy,Somewhere Between Beauty & Magic
12,Abra Cadabra,Product of My Environment
13,DaVido,A Better Time
14,Wizkid,Made In Lagos
15,Roddy Ricch,Please Excuse Me for Being Antisocial
16,Rema,Rema Freestyle EP
17,AURORA,All My Demons Greeting Me As A Friend (Deluxe)
18,Marshmello,Shockwave
19,DJ Khaled,KHALED KHALED
20,Lil Tjay,Destined 2 Win
21,Teni,WONDALAND
22,Giveon,When It's All Said And Done... Take Time
23,SAINt JHN,While The World Was Burning
24,DaVido,Best Of Davido
25,Juice Wrld,Death Race For Love
26,Dave,PSYCHODRAMA
27,Wizkid,Superstar
28,XXXTentacion,?
29,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack)
30,Corizo,Chronicles of CORIZO
31,G4 Boyz,Scam
32,21 Savage,i am > i was (Deluxe)
33,Justin Bieber,Purpose (Deluxe)
34,2Face Idibia,Grass 2 Grace
35,Kanye West,Graduation
36,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers
37,Migos,Culture II
38,Morray ,Street Sermons
39,Dunsin Oyekan,The Gospel of the Kingdom
40,Burna Boy,African Giant
41,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
42,Summer Walker,Last Day Of Summer
43,Takeoff,The Last Rocket
44,Drake,Scorpion
45,Nasty C,Strings And Bling
46,NF,Therapy Session
47,Tomi Thomas,Hopeless Romantic
48,Erigga,Before the Chaos-EP
49,42 Dugg,Free Dem Boyz
50,J. Cole,The Off-Season
51,21 Savage,Spiral: From The Book of Saw Soundtrack
52,Rod Wave,SoulFly
53,AJR,OK ORCHESTRA
54,NF,CLOUDS (THE MIXTAPE)
55,KCee,Cultural Praise
56,Justin Bieber,Justice
57,Hulvey,Christopher
58,The Spirituals,Black History Project (Live from London)
59,The Weeknd,The Highlights
60,Juice Wrld,Legends Never Die
61,Chike,Boo of the Booless
62,Gabzy,Malone
63,Ty Dolla $ign,Featuring Ty Dolla $ign
64,Olamide,Carpe Diem
65,Juice Wrld,Legends Never Die
66,Judikay,Man Of Galilee
67,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
68,Sola Allyson,\u00ccR\u00cc (The Album Live) (Live)
69,prettyboydo,Wildfire
70,Sasha Sloan,Self Portrait
71,Chris Brown,Indigo (Extended)
72,POLO G,Die A Legend
73,LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD (feat. Sia, Diplo & Labrinth)"
74,Juice Wrld,Goodbye & Good Riddance
75,fun.,Some Nights
76,Travis Scott,ASTROWORLD
77,XXXTentacion,Free X
78,Era,Era I 2002
79,Various Artists,Gully (Original Motion Picture Soundtrack)
80,Bugzy Malone,The Resurrection
81,Marina,Ancient Dreams In A Modern Land
82,Juice Wrld,Goodbye & Good Riddance (Anniversary Edition)
83,Various Artists,Gospel Worship 2021
84,Michael Jackson,Dangerous
85,Rihanna,ANTI
86,amaarae,THE ANGEL YOU DON'T KNOW
87,Yinka Ayefele,Fulfilment
88,Conway the Machine,La Maquina
89,Various Artists,Depressing Songs 2020
90,Tatiana Manaois,Love Diaries of an Introvert
91,Oriental Brothers International Band,Super Hits
92,Justin Bieber,Purpose
93,Toosii,Thank You For Believing
94,ZAYN,Nobody Is Listening
95,YXNG K.A,REAPER SZN
96,Mannywellz,Mirage
97,DaBaby,BLAME IT ON BABY
98,Mick Jenkins,The Circus
99,Alvin And The Chipmunks,Chipwrecked (Music From The Motion Picture)
100,Raekwon,Immobilarity
