Position,artist,album
1,Lil Baby,The Voice of the Heroes
2,Lojay,LV N ATTN
3,G4 Boyz,Scam
4,Ruger,PANDEMIC
5,J. Cole,The Off-Season
6,Olivia Rodrigo,SOUR
7,Tomi Thomas,Hopeless Romantic
8,Wizkid,Made In Lagos
9,Judikay,Man Of Galilee
10,Blaqbonez,Sex Over Love
11,Powfu,drinking under the streetlights
12,Sleepy Hallow,Still Sleep?
13,Joeboy,Somewhere Between Beauty & Magic
14,Burna Boy,African Giant
15,Post Malone,Hollywood's Bleeding
16,Juice Wrld,Goodbye & Good Riddance (Anniversary Edition)
17,Oxlade,OXYGENE
18,KDDO,TOO LATE TOO LIT (EP)
19,Tate McRae,TOO YOUNG TO BE SAD
20,KCee,Cultural Praise
21,Justin Bieber,Justice (Triple Chucks Deluxe)
22,6lack,East Atlanta Love Letter
23,Erigga,Before the Chaos-EP
24,DJ Khaled,KHALED KHALED
25,Drake,Scorpion
26,Twenty One Pilots,Scaled And Icy
27,Abra Cadabra,Product of My Environment
28,Show Dem Camp,The Palmwine Express
29,Burna Boy,Twice As Tall
30,Juice Wrld,Legends Never Die
31,Kizz Daniel,King Of Love
32,Mannywellz,Mirage
33,Burna Boy,On a Spaceship
34,Dave,PSYCHODRAMA
35,Various Artists,Let It Shine (Original Soundtrack)
36,J Hus,Common Sense
37,Lojay,Midnight Vibes
38,Dave,Game Over
39,Pi'Erre Bourne,The Life Of Pi'erre 4
40,Justin Bieber,Freedom.
41,Odumodublvck,Time & Chance (Deluxe)
42,Central Cee,Wild West
43,6lack,FREE 6LACK (Bonus Track Version)
44,SAINt JHN,Ghetto Lenny's Love Songs
45,Damian Marley,Distant Relatives
46,Chike,Boo of the Booless
47,Roddy Ricch,Please Excuse Me for Being Antisocial
48,Juice Wrld,Death Race For Love
49,Roddy Ricch,Feed Tha Streets II
50,Dido,Life For Rent
51,Khalid,Suncity
52,AURORA,FOR THE METAL PEOPLE
53,Giveon,When It's All Said And Done... Take Time
54,Rod Wave,SoulFly
55,Justin Bieber,Justice
56,Dremo,Ea$t N We$t
57,Kodak Black,Haitian Boy Kodak
58,Masego,Studying Abroad: Extended Stay
59,Cheque,Razor
60,DMX,Exodus
61,Alicia Keys,Songs In A Minor (20th Anniversary Edition)
62,Corizo,Chronicles of CORIZO
63,Fredo,Money Can't Buy Happiness
64,Eminem,Music To Be Murdered By - Side B (Deluxe Edition)
65,SAINt JHN,While The World Was Burning
66,XXXTentacion,?
67,Dua Lipa,Future Nostalgia
68,Basketmouth,Yabasi
69,NSG,Roots
70,Justin Bieber,Changes
71,Tatiana Manaois,Love Diaries of an Introvert
72,Cruel Santino,Mandy & The Jungle
73,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
74,Koffee,Rapture EP
75,Frank Ocean,Blonde
76,Playboi Carti,Playboi Carti
77,Jon Bellion,The Human Condition
78,Don Williams,The Essential Collection
79,Yanni,Tribute
80,Nas,King's Disease
81,Mr Eazi,"Life is Eazi, Vol. 2 - Lagos To London"
82,Joyner Lucas,Evolution
83,YG,Kommunity Service
84,Nasty C,Zulu Man With Some Power
85,Jay-Z,4:44
86,Gunna,Drip or Drown 2
87,Charley Pride,The Essential Charley Pride
88,Shane Eagle,Never Grow Up.
89,Gmac Cash,King Of Comedy Rap 2
90,Wifisfuneral,Smoking Mirrors
91,Zamir,Xxiii
92,Skip Marley,Higher Place
93,Joyner Lucas,508-507-2209
94,Sia,1000 Forms Of Fear (Deluxe Version)
95,Years & Years,Palo Santo
96,Various Artists,Lyricist Lounge Volume 2
97,Don Williams,The Very Best Of Don Williams
98,Teni,WONDALAND
99,24kgoldn,El Dorado
100,Ameen,Cusp
