rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Sinner ft. Lucky Daye,Adekunle Gold and  Lucky Daye,3,5,1,14,1,3,4.5
2,Feeling ft. Buju,LADIPOE and  Buju,9,3,8,2,8,4,5.666666666666667
3,Outside,Buju,8,6,24,9,6,29,13.666666666666666
4,Rock,Olamide,15,4,14,4,14,33,14.0
5,Peru,Fireboy DML,7,7,35,3,5,37,15.666666666666666
6,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane",DJ Tarico and  Burna Boy,6,9,12,17,4,51,16.5
7,Understand,Omah Lay,1,2,3,1,96,1,17.333333333333332
8,Coming ft. Busiswa,Naira Marley and  Busiswa,34,18,11,16,34,11,20.666666666666668
9,Feel Good,MohBad,11,1,60,12,10,42,22.666666666666668
10,Essence ft. Tems,Wizkid,19,27,9,34,17,47,25.5
11,Naira Marley,Zinoleesky,18,8,67,19,16,41,28.166666666666668
12,Testimony,Buju,16,10,89,28,13,54,35.0
13,History ft. Fireboy DML,Cheque and  Fireboy DML,58,13,50,8,55,28,35.333333333333336
14,Bounce,Ruger,5,202,4,5,3,2,36.833333333333336
15,Kilometre,Burna Boy,50,39,65,24,50,18,41.0
16,Celebrate Me,Patoranking,62,20,21,22,59,71,42.5
17,Running (To You) ft. Simi,Chike and  Simi,81,26,10,27,77,64,47.5
18,FOR YOU ft. Davido,Teni,84,23,22,52,81,25,47.833333333333336
19,Focus,Joeboy,66,21,72,11,65,68,50.5
20,Julie,Olamide,73,33,20,35,69,104,55.666666666666664
21,Godly,Omah Lay,91,57,18,25,92,65,58.0
22,Big Thug Boys,AV,12,420,19,6,11,32,83.33333333333333
23,Medicine,Jaywillz,20,420,43,10,19,17,88.16666666666667
24,Show Me,Joeboy,29,420,23,7,28,31,89.66666666666667
25,Pronto ft. Omah Lay,Ajebo Hustlers and  Omah Lay,33,37,350,81,32,21,92.33333333333333
26,INDUSTRY BABY ft. Jack Harlow,Lil Nas X and  Jack Harlow,26,420,2,89,25,5,94.5
27,Soundgasm,Rema,17,64,13,450,15,8,94.5
28,Call Me Baby,Cheque,51,11,350,30,44,97,97.16666666666667
29,System ft. WizKid,Dave and  Wizkid,2,420,26,32,97,6,97.16666666666667
30,HUSTLE,Teni,40,420,15,20,40,52,97.83333333333333
31,Felony,CKay,47,54,350,82,49,9,98.5
32,Confident,Savage and  Buju,14,15,58,450,12,45,99.0
33,Far Away,Dangbana Republik and  Bella Shmurda,30,19,51,450,29,19,99.66666666666667
34,It Is What It Is,Adekunle Gold,45,16,41,450,47,12,101.83333333333333
35,Bling (feat. Amaarae & Buju),Blaqbonez,24,24,45,450,23,53,103.16666666666667
36,Forever (Remix) ft. Omah Lay,Gyakie and  Omah Lay,56,420,16,79,53,14,106.33333333333333
37,Ke Star (Remix),Focalistic and  Davido,53,44,27,450,51,20,107.5
38,Jailer ft. Jaywillz,Olamide,61,22,350,54,58,103,108.0
39,Ginger (feat. Burna Boy),Wizkid,38,45,42,450,37,40,108.66666666666667
40,Abu Dhabi,Ruger,36,420,85,59,38,15,108.83333333333333
41,Dimension ft. Skepta & Rema,JAE5,27,420,37,96,27,57,110.66666666666667
42,23,Burna Boy,59,67,350,67,57,70,111.66666666666667
43,PonPon ft. Fave,Olamide,98,52,350,63,94,44,116.83333333333333
44,Hallelu,Masterkraft,78,41,44,450,75,24,118.66666666666667
45,Somebody Baby,Davido and  Peruzzi,67,56,90,450,63,26,125.33333333333333
46,The Best ft. Mayorkun,Davido,69,81,350,99,67,89,125.83333333333333
47,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne and  Russ Millions,77,92,56,450,73,38,131.0
48,Early Momo,Vector,64,99,74,450,62,90,139.83333333333334
49,KOLO (feat. Oxlade),Ice Prince,75,108,79,450,71,78,143.5
50,INJURE ME,Teni,88,28,350,48,84,325,153.83333333333334
51,Way Too Big,Burna Boy,68,74,350,51,66,325,155.66666666666666
