Rank,Previous Rank,song,artist,Weeks on Chart,Views,Weekly Growth,YouTube URL
74,58,Sai dake,Hamisu Breaker,7,23844,-18.70%,https://www.youtube.com/watch?v=1eWinSRXuo0
75,27,Airplane Mode,Fireboy DML,4,23600,-52.30%,https://www.youtube.com/watch?v=fROdHu_oI7g
76,19,Avalanche,Migos,2,22184,-61.10%,https://www.youtube.com/watch?v=--14w5SOEUs
77,81,Ruger,Ruger,7,21674,3%,https://www.youtube.com/watch?v=Pc5J9oB3tdo
78,73,Door,Joeboy,11,21326,-11.20%,https://www.youtube.com/watch?v=gjzzE1v1RDk
79,,SKAT (feat. DaBaby),Tory Lanez,1,21193,,https://www.youtube.com/watch?v=VitJpehh0aM
80,69,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,14,20834,-17.80%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
81,77,Don Dada,Timaya,13,20799,-7.50%,https://www.youtube.com/watch?v=AKJGyiNEjpc
82,75,Love Like This (feat. Fireboy DML),Lil Kesh,14,20587,-11.90%,https://www.youtube.com/watch?v=PMGrn5pA-DM
83,68,Oliver Twist,ArrDee,3,20199,-21.40%,https://www.youtube.com/watch?v=HC7p5PjrC1E
84,84,INJURE ME,Teni,6,19899,-3.30%,https://www.youtube.com/watch?v=O7bOeffd48E
85,76,Loved By You (feat. Burna Boy),Justin Bieber,14,19547,-16.20%,https://www.youtube.com/watch?v=MHi4w6DO3DE
86,61,Aye Ope yo,Adeyinka Alaseyori,7,19384,-31.90%,https://www.youtube.com/watch?v=_jcyOSKBuBk
87,86,Are You Sure (feat. Naira Marley),"LYTA, EMO Grae, Naira Marley & Zinoleesky",15,19244,-2.90%,https://www.youtube.com/watch?v=wbJAtq1SLgE
88,83,GANI A SO,Zainab Ambato,16,19090,-7.40%,https://www.youtube.com/watch?v=AgocpB3JxOA
89,60,Arojinle,Adeyinka Alaseyori,9,18291,-36.50%,https://www.youtube.com/watch?v=MmBNocZYJW4
90,93,Squander,Falz & Niniola,19,17385,-6.10%,https://www.youtube.com/watch?v=d5h4yOmKi6w
91,85,Labarin Zuciya (Live),Rahab saleem,6,16869,-17.40%,https://www.youtube.com/watch?v=O1wnV5k00Fs
92,90,Million Little Miracles,Elevation Worship & Maverick City Music,7,16612,-11.80%,https://www.youtube.com/watch?v=Viiw6tGimHo
93,64,Straightenin,Migos,6,16565,-37.70%,https://www.youtube.com/watch?v=E553AnMAvlU
94,82,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",16,16488,-20.10%,https://www.youtube.com/watch?v=adLGHcj_fmA
95,92,Yadda Kunne Yaji,Hamisu Breaker,19,16426,-11.40%,https://www.youtube.com/watch?v=l-tHbaRdzJc
96,79,LV N ATTN feat. Wizkid,Lojay,3,16397,-22.90%,https://www.youtube.com/watch?v=t4IEaUhIuCs
97,47,Thot Shit,Megan Thee Stallion,2,15977,-58.50%,https://www.youtube.com/watch?v=KynkMn5Hv3Q
98,,Astronaut In The Ocean,Masked Wolf,3,15824,,https://www.youtube.com/watch?v=MEg-oqI9qmw
99,88,Up,Cardi B,20,15626,-17.90%,https://www.youtube.com/watch?v=rCiBgLOcuKU
100,,You're Welcome,Dwayne Johnson,6,15574,,https://www.youtube.com/watch?v=79DijItQXMM
