rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Lie,Kizz Daniel,7,2,1,1,2,5,3.0
2,High ft. Davido,Adekunle Gold and  Davido,4,1,2,5,5,6,3.8333333333333335
3,Bloody Samaritan,Ayra Starr,3,6,3,4,4,3,3.8333333333333335
4,Peru,Fireboy DML,2,3,12,3,3,2,4.166666666666667
5,Feel Good,MohBad,10,9,8,13,12,8,10.0
6,Understand,Omah Lay,9,62,5,2,11,4,15.5
7,Sinner ft. Lucky Daye,Adekunle Gold and  Lucky Daye,18,7,16,28,19,14,17.0
8,Outside,Buju,22,10,24,15,24,16,18.5
9,Feeling ft. Buju,LADIPOE and  Buju,30,8,19,7,31,19,19.0
10,Question ft. Don Jazzy,Burna Boy,14,64,10,6,16,12,20.333333333333332
11,Essence ft. Justin Bieber & Tems,Wizkid,13,74,4,11,42,11,25.833333333333332
12,"Yaba Buluku (Remix) (Remix) ft. Burna Boy, Preck & Nelson Tivane",DJ Tarico and  Burna Boy,28,25,32,42,30,23,30.0
13,Naira Marley,Zinoleesky,33,20,23,39,35,70,36.666666666666664
14,Rock,Olamide,45,12,31,8,48,87,38.5
15,Coming ft. Busiswa,Naira Marley and  Busiswa,66,17,22,40,82,44,45.166666666666664
16,LOML ft. Olamide,Cheque,59,5,75,9,61,86,49.166666666666664
17,loving is harder,Johnny Drille,101,30,52,83,97,90,75.5
18,Anoti,Wizkid,5,420,17,10,6,7,77.5
19,Bounce,Ruger,21,420,6,19,21,15,83.66666666666667
20,Girls Want Girls ft. Lil Baby,Drake,8,420,35,27,7,13,85.0
21,Monalisa ft. Sarz,Lojay and  Sarz,11,420,20,46,15,9,86.83333333333333
22,Mood ft. Buju,Wizkid,1,420,7,14,78,1,86.83333333333333
23,Testimony,Buju,44,33,350,22,47,30,87.66666666666667
24,Fountains ft. Tems,Drake,6,420,9,20,80,10,90.83333333333333
25,Big Thug Boys,AV,34,420,28,34,36,17,94.83333333333333
26,So Cold ft. Popcaan,Bella Shmurda and  Popcaan,61,15,350,53,60,34,95.5
27,Ojuju,Troniq Music and  Oxlade,25,14,21,450,27,50,97.83333333333333
28,Fair Trade ft. Travis Scott,Drake,12,420,36,72,9,41,98.33333333333333
29,Champagne Poetry,Drake,17,420,42,58,14,48,99.83333333333333
30,Medicine,Jaywillz,31,420,15,12,34,88,100.0
31,Steady,Wizkid,16,420,47,30,17,72,100.33333333333333
32,TSU,Drake,27,420,64,41,23,28,100.5
33,Way 2 Sexy ft. Future & Young Thug,Drake,15,420,13,98,13,46,100.83333333333333
34,Let Me Know,Mayorkun,26,420,40,29,28,68,101.83333333333333
35,Somebody’s Son,Tiwa Savage,24,26,14,450,25,73,102.0
36,ova ft. Don Jazzy,Johnny Drille,87,240,92,31,83,80,102.16666666666667
37,Confident,Savage and  Buju,37,13,66,450,40,24,105.0
38,Beggie Beggie ft. CKay,Ayra Starr,63,57,350,43,67,54,105.66666666666667
39,Love All ft. JAY-Z,Drake,23,420,44,75,18,74,109.0
40,Show Me,Joeboy,68,420,43,17,71,65,114.0
41,In The Bible ft. Lil Durk & Giveon,Drake,20,420,51,86,93,21,115.16666666666667
42,HUSTLE,Teni,76,420,29,44,89,45,117.16666666666667
43,Soundgasm,Rema,43,73,26,450,46,69,117.83333333333333
44,Felony,CKay,70,96,350,94,74,33,119.5
45,It Is What It Is,Adekunle Gold,82,16,53,450,91,37,121.5
46,Bling (feat. Amaarae & Buju),Blaqbonez,58,79,79,450,62,29,126.16666666666667
47,Far Away,Dangbana Republik and  Bella Shmurda,73,49,58,450,75,53,126.33333333333333
48,Drug Test,Naira Marley,375,23,62,35,300,56,141.83333333333334
49,Fashion Killer,Ayra Starr,38,420,350,57,43,20,154.66666666666666
50,driving in the rain ft. LADIPOE,Johnny Drille,119,252,350,33,111,105,161.66666666666666
51,Colorado,Zugo and  Dai Verse,53,21,350,450,54,62,165.0
52,Ginger ft. Burna Boy,Wizkid,46,420,350,89,50,43,166.33333333333334
53,Papi’s Home,Drake,29,420,54,450,22,27,167.0
54,INDUSTRY BABY,Lil Nas X and  Jack Harlow,90,271,30,450,99,71,168.5
55,Off The Grid,Kanye West,62,420,350,45,57,81,169.16666666666666
56,Cocaine,Dai Verse,19,420,93,450,20,18,170.0
57,Hurricane,Kanye West,40,420,70,450,39,22,173.5
58,Party Next Door,Dangbana Republik and  Bella Shmurda,49,420,45,450,51,26,173.5
59,Knife Talk,Drake,36,420,77,450,32,36,175.16666666666666
60,7am On Bridle Path,Drake,39,420,78,450,33,35,175.83333333333334
61,Praise God,Kanye West,85,420,350,51,66,83,175.83333333333334
62,N 2 Deep,Drake,32,420,71,450,26,61,176.66666666666666
63,Way Too Big,Burna Boy,104,105,350,61,118,325,177.16666666666666
64,23,Burna Boy,95,110,350,74,112,325,177.66666666666666
65,No Friends In The Industry,Drake,35,420,84,450,29,66,180.66666666666666
66,Running (To You) ft. Simi,Chike,375,22,27,36,300,325,180.83333333333334
67,Jail,Kanye West,57,420,76,450,52,31,181.0
68,Blessed (feat. Damian Marley),Wizkid,54,119,350,450,53,75,183.5
69,Pipe Down,Drake,42,420,88,450,37,67,184.0
70,Celebrate Me,Patoranking,375,18,39,48,300,325,184.16666666666666
71,Get Along Better,Drake,47,420,83,450,38,76,185.66666666666666
72,You Only Live Twice,Drake,48,420,73,450,41,89,186.83333333333334
73,Race My Mind,Drake,50,420,98,450,44,78,190.0
74,MAKAVELI,T-Classic,94,420,350,54,109,114,190.16666666666666
75,Godly,Omah Lay,375,86,33,25,300,325,190.66666666666666
76,FOR YOU ft. Davido,Teni,375,27,37,95,300,325,193.16666666666666
77,STAY,The Kid LAROI and  Justin Bieber,93,420,41,450,106,57,194.5
78,Mercy,Falz,375,44,350,55,300,55,196.5
79,Kilometre,Burna Boy,375,93,350,23,300,47,198.0
80,Infinity ft. Omah Lay,Olamide,375,36,350,26,300,106,198.83333333333334
81,Need To Know,Doja Cat,97,420,74,450,113,63,202.83333333333334
82,Shako,Barry Jhay,60,4,350,450,63,325,208.66666666666666
83,Lonely,Joeboy,375,75,350,76,300,115,215.16666666666666
84,Call Me Baby,Cheque,375,116,350,49,300,118,218.0
85,odo,Johnny Drille,102,251,350,450,100,84,222.83333333333334
86,Dimension (feat. Skepta & Rema),JAE5,56,420,350,450,59,32,227.83333333333334
87,Cast (Gen Z Anthem),Ayra Starr,51,420,350,450,55,42,228.0
88,Clash,Dave and  Stormzy,64,420,350,450,65,25,229.0
89,Pronto,Ajebo Hustlers and  Omah Lay,77,90,350,450,88,325,230.0
90,Southy Love,Peruzzi,69,123,350,450,72,325,231.5
91,Focus,Joeboy,375,24,350,18,300,325,232.0
92,Yebba’s Heartbreak,Drake and  Yebba,52,420,350,450,45,77,232.33333333333334
93,System,Dave and  Wizkid,67,420,350,450,68,39,232.33333333333334
94,IMY2,Drake,55,420,350,450,49,79,233.83333333333334
