rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Feeling,"LADIPOE, Buju",2,2,2,1,2,5,2.3333333333333335
2,Rock,Olamide,4,1,4,2,4,7,3.6666666666666665
3,Outside,Buju,5,6,5,5,5,20,7.666666666666667
4,COMING,"Naira Marley, Busiswa",16,10,16,7,10,2,10.166666666666666
5,Essence,Wizkid,11,26,10,22,6,9,14.0
6,Party Next Door,"Dangbana Republik, Bella Shmurda",13,19,14,3,16,43,18.0
7,Naira Marley,Zinoleesky,10,22,11,4,11,55,18.833333333333332
8,History,"Cheque, Fireboy DML",33,4,32,6,25,26,21.0
9,Kilometre,Burna Boy,22,12,23,25,18,47,24.5
10,Running (To You),"Chike, Simi",55,14,51,27,35,6,31.333333333333332
11,Focus,Joeboy,43,7,42,14,52,45,33.833333333333336
12,Yaba Buluku (Remix),"DJ Tarico, Burna Boy",3,87,3,12,32,84,36.833333333333336
13,FOR YOU,Teni,58,49,55,20,28,15,37.5
14,CELEBRATE ME,Patoranking,75,20,72,11,63,11,42.0
15,Godly,Omah Lay,69,21,73,47,54,17,46.833333333333336
16,dimension,JAE5,14,51,13,176,9,29,48.666666666666664
17,Somebody Baby,"Davido, Peruzzi",52,95,48,39,26,58,53.0
18,INJURE ME,Teni,67,32,66,19,93,53,55.0
19,The Best,Davido,54,88,49,65,47,41,57.333333333333336
20,World,"Dangbana Republik, Bella Shmurda",51,91,58,17,57,80,59.0
21,HUSTLE,Teni,31,55,33,221,31,1,62.0
22,Cash App,"Bella Shmurda, Zlatan, Lincoln",80,63,82,55,85,27,65.33333333333333
23,Jailer,Olamide,19,24,18,10,43,325,73.16666666666667
24,Need For Speed,Olamide,30,9,27,9,53,325,75.5
25,Julie,Olamide,25,15,24,13,55,325,76.16666666666667
26,Soundgasm,Rema,6,420,6,29,3,8,78.66666666666667
27,PonPon,Olamide,38,36,34,21,21,325,79.16666666666667
28,Bling,Blaqbonez,12,420,12,15,8,33,83.33333333333333
29,Show Me,Joeboy,15,5,15,450,23,14,87.0
30,Somebody,Olamide,32,17,29,24,97,325,87.33333333333333
31,Confident,"Savage, Buju",8,420,8,8,7,78,88.16666666666667
32,It Is What It Is,Adekunle Gold,23,420,25,18,13,32,88.5
33,Ke Star (Remix),"Focalistic, Davido",27,420,28,32,19,21,91.16666666666667
34,Big Thug Boys,AV,7,8,7,450,17,67,92.66666666666667
35,Omo X 100,Reminisce,70,39,67,26,42,325,94.83333333333333
36,23,Burna Boy,45,65,44,59,40,325,96.33333333333333
37,Ginger,Wizkid,20,420,20,42,39,37,96.33333333333333
38,Infinity,Olamide,81,11,83,51,30,325,96.83333333333333
39,Forever (Remix),"Gyakie, Omah Lay",35,38,36,450,14,10,97.16666666666667
40,Too Correct,"Crayon, Rema",88,28,85,34,300,61,99.33333333333333
41,Cup of Tea,Olamide,59,60,53,31,70,325,99.66666666666667
42,Body (Remix),"Tion Wayne, Russ Millions",40,420,37,58,34,35,104.0
43,Hallelu,Masterkraft,63,420,61,38,24,38,107.33333333333333
44,Way Too Big,Burna Boy,57,53,54,70,90,325,108.16666666666667
45,KPK (Ko Por Ke),"Rexxie, MohBad",62,420,59,52,37,28,109.66666666666667
46,PEPE,"L.A.X, Davido",94,30,93,61,64,325,111.16666666666667
47,Korope,"Lil Kesh, Naira Marley",116,25,101,33,67,325,111.16666666666667
48,Bounse,Rema,49,420,1,162,20,24,112.66666666666667
49,La La (feat. CKay),Davido,36,75,35,450,62,19,112.83333333333333
50,Early Momo,Vector,41,420,40,73,51,60,114.16666666666667
51,KOLO,Ice Prince,47,420,45,83,49,72,119.33333333333333
52,Southy Love,Peruzzi,44,420,43,92,84,46,121.5
53,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,71,31,68,450,41,73,122.33333333333333
54,Bad Influence,Omah Lay,83,79,88,82,82,325,123.16666666666667
55,Bounce,Ruger,1,3,350,450,1,3,134.66666666666666
