rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Feeling,"LADIPOE, Buju",2,2,2,2,1,5,2.333333333
2,Rock,Olamide,3,1,3,1,3,7,3
3,Outside,Buju,5,7,5,6,5,21,8.166666667
4,COMING,"Naira Marley, Busiswa",18,10,18,7,9,1,10.5
5,Essence,Wizkid,8,30,8,23,7,14,15
6,Naira Marley,Zinoleesky,19,12,21,8,29,26,19.16666667
7,History,"Cheque, Fireboy DML",29,4,29,11,21,31,20.83333333
8,Kilometre,Burna Boy,21,9,22,25,17,51,24.16666667
9,It Is What It Is,Adekunle Gold,25,58,25,17,14,35,29
10,Focus,Joeboy,37,8,38,15,41,48,31.16666667
11,Running (To You),"Chike, Simi",51,20,50,27,37,8,32.16666667
12,All,Rexxie,12,31,11,50,58,36,33
13,FOR YOU,Teni,58,52,59,21,27,18,39.16666667
14,CELEBRATE ME,Patoranking,69,22,68,10,61,9,39.83333333
15,Need For Speed,Olamide,57,6,57,3,31,93,41.16666667
16,Godly,Omah Lay,67,19,66,45,40,16,42.16666667
17,dimension,JAE5,11,47,12,168,6,27,45.16666667
18,Somebody Baby,"Davido, Peruzzi",48,80,47,32,19,55,46.83333333
19,KPK (Ko Por Ke),"Rexxie, MohBad",53,61,56,80,35,28,52.16666667
20,The Best,Davido,52,78,51,64,45,50,56.66666667
21,World,"Dangbana Republik, Bella Shmurda",60,90,60,18,57,66,58.5
22,Cash App,"Bella Shmurda, Zlatan, Lincoln",77,64,76,52,68,24,60.16666667
23,Omo X 100,Reminisce,49,27,44,88,96,88,65.33333333
24,Jailer,Olamide,14,18,14,4,28,325,67.16666667
25,Survive,Jaido P,64,41,61,68,109,68,68.5
26,Julie,Olamide,17,15,15,9,32,325,68.83333333
27,PonPon,Olamide,22,26,20,13,13,325,69.83333333
28,Soundgasm,Rema,4,420,4,22,4,6,76.66666667
29,Somebody,Olamide,20,14,19,16,82,325,79.33333333
30,Bling,Blaqbonez,10,420,9,19,8,32,83
31,Show Me,Joeboy,13,5,13,450,20,12,85.5
32,Ke Star (Remix),"Focalistic, Davido",27,420,27,31,16,19,90
33,Felony,CKay,26,420,26,37,10,40,93.16666667
34,Korope,"Lil Kesh, Naira Marley",61,16,53,5,101,325,93.5
35,Infinity,Olamide,78,11,77,47,26,325,94
36,Forever (Remix),"Gyakie, Omah Lay",34,38,36,450,12,11,96.83333333
37,Big Thug Boys,AV,9,25,10,450,30,58,97
38,Too Correct,"Crayon, Rema",84,23,83,33,300,65,98
39,Body (Remix),"Tion Wayne, Russ Millions",31,420,32,48,24,33,98
40,INJURE ME,Teni,75,34,74,20,300,87,98.33333333
