rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Understand,Omah Lay,1,1,1,2,6,4,2.5
2,Feeling,"LADIPOE, Buju",5,2,5,3,8,8,5.166666666666667
3,Rock,Olamide,8,4,8,4,11,14,8.166666666666666
4,Outside,Buju,4,8,4,7,10,26,9.833333333333334
5,Sinner,"Adekunle Gold, Lucky Daye",9,26,11,9,13,10,13.0
6,Testimony,Buju,6,14,7,5,2,61,15.833333333333334
7,COMING,"Naira Marley, Busiswa",22,13,22,13,21,7,16.333333333333332
8,Essence,Wizkid,14,29,14,26,15,9,17.833333333333332
9,Naira Marley,Zinoleesky,13,11,12,6,1,65,18.0
10,Feel Good,MohBad,12,21,13,1,4,62,18.833333333333332
11,Yaba Buluku ([Remix]),"DJ Tarico, Burna Boy",44,17,44,8,16,5,22.333333333333332
12,History,"Cheque, Fireboy DML",45,7,46,14,36,42,31.666666666666668
13,Kilometre,Burna Boy,35,16,34,33,26,60,34.0
14,CELEBRATE ME,Patoranking,46,19,48,15,54,25,34.5
15,Running (To You),"Chike, Simi",69,24,70,23,46,12,40.666666666666664
16,FOR YOU,Teni,64,44,66,25,34,21,42.333333333333336
17,Julie,Olamide,47,28,49,28,108,32,48.666666666666664
18,Godly,Omah Lay,79,20,77,56,55,16,50.5
19,Far Away,"Dangbana Republik, Bella Shmurda",18,89,16,17,24,325,81.5
20,Big Thug Boys,AV,7,5,6,450,12,19,83.16666666666667
21,Soundgasm,Rema,11,420,10,55,9,11,86.0
22,Confident,"Savage, Buju",10,420,9,12,14,55,86.66666666666667
23,Focus,Joeboy,53,9,56,16,62,325,86.83333333333333
24,Jailer,Olamide,40,43,39,18,82,325,91.16666666666667
25,Felony,CKay,36,100,35,50,3,325,91.5
26,Show Me,Joeboy,20,6,20,450,38,24,93.0
27,It Is What It Is,Adekunle Gold,33,420,32,24,5,49,93.83333333333333
28,Bling,Blaqbonez,16,420,54,19,18,46,95.5
29,Pronto,"Ajebo Hustlers, Omah Lay",41,83,43,47,37,325,96.0
30,Ke Star (Remix),"Focalistic, Davido",38,420,37,35,27,23,96.66666666666667
31,Dimension (feat. Skepta & Rema),JAE5,19,48,18,450,20,35,98.33333333333333
32,HUSTLE,Teni,29,15,29,450,56,13,98.66666666666667
33,Ginger,Wizkid,25,420,24,44,44,43,100.0
34,Medicine,Jaywillz,17,10,17,450,53,53,100.0
35,PonPon,Olamide,70,53,69,45,39,325,100.16666666666667
36,Lako,"Dangbana Republik, Bella Shmurda",59,71,57,32,71,325,102.5
37,Peru,Fireboy DML,104,63,107,141,110,99,104.0
38,23,Burna Boy,50,61,55,67,67,325,104.16666666666667
39,Champion,"Dangbana Republik, Bella Shmurda",58,42,58,52,101,325,106.0
40,Forever (Remix),"Gyakie, Omah Lay",43,67,41,450,22,15,106.33333333333333
41,Cash App,"Bella Shmurda, Zlatan, Lincoln",111,54,101,59,300,31,109.33333333333333
42,World,"Dangbana Republik, Bella Shmurda",27,420,27,38,51,97,110.0
43,The Best,Davido,57,85,62,77,60,325,111.0
44,Infinity,Olamide,127,12,119,61,32,325,112.66666666666667
45,High Way,"DJ Kaywise, Phyno",77,88,86,83,300,47,113.5
46,Somebody Baby,"Davido, Peruzzi",52,420,59,51,33,86,116.83333333333333
47,Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,23,98,19,450,42,74,117.66666666666667
48,Bounse,Rema,54,420,2,176,29,30,118.5
49,Way Too Big,Burna Boy,62,47,65,72,141,325,118.66666666666667
50,Abu Dhabi,Ruger,37,66,40,450,31,94,119.66666666666667
51,Body (Remix),"Tion Wayne, Russ Millions",60,420,93,73,40,40,121.0
52,Early Momo,Vector,49,420,50,92,75,70,126.0
53,KOLO,Ice Prince,55,420,60,103,64,77,129.83333333333334
54,KPK (Ko Por Ke),"Rexxie, MohBad",112,420,104,79,45,33,132.16666666666666
55,Bounce,Ruger,2,3,350,450,7,2,135.66666666666666
56,Need For Speed,Olamide,86,18,78,22,300,325,138.16666666666666
57,INJURE ME,Teni,75,34,76,20,300,325,138.33333333333334
58,Somebody,Olamide,67,38,67,49,300,325,141.0
59,Out There,"Dangbana Republik, Bella Shmurda",24,420,23,11,49,325,142.0
60,Bia,Phyno,375,25,118,21,300,34,145.5
61,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,128,64,120,450,57,87,151.0
62,Monalisa,"Lojay, Sarz",3,420,3,450,17,37,155.0
63,Tonongo,"Lojay, Sarz",21,420,21,97,48,325,155.33333333333334
64,Soldier Go,"Dangbana Republik, Bella Shmurda",51,420,52,31,70,325,158.16666666666666
65,Hallelu,Masterkraft,66,420,71,36,35,325,158.83333333333334
66,Party Next Door,"Dangbana Republik, Bella Shmurda",15,420,15,450,19,36,159.16666666666666
67,All,Rexxie,72,420,73,53,43,325,164.33333333333334
68,Late At Night,Roddy Ricch,56,420,61,69,66,325,166.16666666666666
69,Southy Love,Peruzzi,42,420,42,102,83,325,169.0
70,Shopping Spree,Davido,85,420,88,123,300,1,169.5
71,La La (feat. CKay),Davido,31,420,33,450,59,27,170.0
72,Clash (feat. Stormzy),"Dave, Stormzy",32,420,38,450,28,64,172.0
73,Kilofeshe,Zinoleesky,97,420,102,43,47,325,172.33333333333334
74,Rush,"Dangbana Republik, Bella Shmurda",28,420,28,169,68,325,173.0
75,LV N ATTN,"Lojay, Sarz",26,420,26,148,129,325,179.0
76,Woo Baby (feat. Chris Brown),Pop Smoke,82,420,53,450,58,28,181.83333333333334
77,Oliver Twist,ArrDee,84,420,87,450,23,80,190.66666666666666
78,Mr. Jones (feat. FUTURE),Pop Smoke,76,420,45,450,97,66,192.33333333333334
79,Too Correct,Crayon,375,30,350,46,300,82,197.16666666666666
80,Door,Joeboy,375,32,350,89,300,85,205.16666666666666
81,Korope,Lil Kesh,375,35,350,58,94,325,206.16666666666666
82,Abule,Patoranking,375,50,350,142,300,48,210.83333333333334
83,Bank On It,Burna Boy,48,94,51,450,300,325,211.33333333333334
84,Bad Influence,Omah Lay,375,68,350,85,73,325,212.66666666666666
85,No Stress,Wizkid,74,420,72,93,300,325,214.0
86,PEPE,L.A.X & Davido,375,36,350,112,100,325,216.33333333333334
87,Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,30,420,25,450,52,325,217.0
88,Blessed (feat. Damian Marley),Wizkid,34,420,31,450,65,325,220.83333333333334
89,Frenemies,Rexxie,83,420,75,135,300,325,223.0
90,Real Life,Burna Boy,93,420,98,105,300,325,223.5
91,Yafun Yafun,Ajebo Hustlers,73,420,85,140,300,325,223.83333333333334
92,Loved By You (feat. Burna Boy),Justin Bieber,63,420,64,450,30,325,225.33333333333334
93,More Time,Pop Smoke,65,420,30,450,76,325,227.66666666666666
94,Manslaughter (feat. Rick Ross & Th,ream) - Pop Smoke,68,420,36,450,87,325,231.0
95,Olofofo,Victor AD,375,22,350,34,300,325,234.33333333333334
96,Triumphant,Olamide,375,23,350,39,300,325,235.33333333333334
97,Good News,Pop Smoke,81,420,47,450,90,325,235.5
98,Reckless,Wizkid,61,420,63,450,102,325,236.83333333333334
99,RAPSTAR,Polo G,92,420,97,450,41,325,237.5
100,Enjoyment,Yemi Alade,375,49,350,37,300,325,239.33333333333334
101,Brush Em (feat. Rah Swish),Pop Smoke,89,420,81,450,96,325,243.5
102,PAMI,DJ Tunez,375,52,350,68,300,325,245.0
103,What's Crackin (feat. Takeoff),Pop Smoke,91,420,84,450,107,325,246.16666666666666
104,Genius (feat. Lil Tjay & Swae Lee),"Pop Smoke, Lil Tjay, Swae Lee",95,420,89,450,99,325,246.33333333333334
105,Demeanor (feat. Dua Lipa),Pop Smoke,100,420,94,450,92,325,246.83333333333334
106,"Top Shotta (feat. Pusha T, TRAVI & Beam)","Pop Smoke, The Neptunes",90,420,99,450,98,325,247.0
107,Lonely,Joeboy,375,60,350,75,300,325,247.5
108,30 (feat. Bizzy Banks),Pop Smoke,98,420,91,450,105,325,248.16666666666666
109,Beat The Speaker,Pop Smoke,99,420,92,450,106,325,248.66666666666666
110,Koleyewon,Naira Marley,375,79,350,65,300,325,249.0
111,Can't Relate,Omah Lay,375,40,350,107,300,325,249.5
112,Cup of Tea,Olamide,375,90,350,60,300,325,250.0
113,Jennifer,Guchi,375,27,350,450,300,3,250.83333333333334
114,Survive,Jaido P,375,65,350,90,300,325,250.83333333333334
115,Adura,Mohbad,375,69,350,95,300,325,252.33333333333334
116,Loading,Olamide,375,55,350,117,300,325,253.66666666666666
117,Coupe,Pop Smoke,101,420,95,450,135,325,254.33333333333334
118,My Bebe,Omah Lay,375,58,350,118,300,325,254.33333333333334
119,Law Of Attraction (feat. Snoh Aalegra),"Dave, Snoh Aalegra",108,420,115,450,112,325,255.0
120,In The Fire,Dave,109,420,117,450,113,325,255.66666666666666
121,If You No Love,Chiké,375,62,350,127,300,325,256.5
122,Omalicha,kolaboy,375,56,350,133,300,325,256.5
123,Roju,Chike,375,45,350,450,300,22,257.0
124,You,Omah Lay,375,78,350,119,300,325,257.8333333333333
125,This Your Body,Skales and Davido,375,46,350,153,300,325,258.1666666666667
126,Music Messiah,DJ Neptune,375,80,350,120,300,325,258.3333333333333
127,Ameno,ERA,375,37,350,450,300,39,258.5
128,Are You Sure,Lyta,375,420,350,29,300,79,258.8333333333333
129,If E Happen For Lagos,Runtown,375,86,350,126,300,325,260.3333333333333
130,Omo X 100,Reminisce,375,420,350,41,61,325,262.0
131,Confession,Omah Lay,375,73,350,150,300,325,262.1666666666667
132,Baba Nla,Dr Dolor,375,74,350,155,300,325,263.1666666666667
