rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
1,Understand,Omah Lay,1,1,1,1,1,1,1
6,Feeling,"LADIPOE, Buju",4,2,3,2,3,6,2.857142857
2,Outside,Buju,5,6,3,7,6,25,8.666666667
3,Sinner,"Adekunle Gold, Lucky Daye",12,14,10,3,14,9,10.33333333
4,Essence,Wizkid,13,25,11,27,7,8,15.16666667
5,COMING,"Naira Marley, Busiswa",24,11,23,15,15,4,15.33333333
7,Naira Marley,Zinoleesky,15,18,13,5,9,60,20
8,Yaba Buluku (Remix),"DJ Tarico, Burna Boy",3,39,88,13,16,10,28.16666667
9,History,"Cheque, Fireboy DML",42,4,40,11,34,39,28.33333333
10,Far Away,"Dangbana Republik, Bella Shmurda",14,37,12,12,17,81,28.83333333
11,Bia,Phyno,45,12,39,6,82,5,31.5
12,Out There,"Dangbana Republik, Bella Shmurda",16,38,14,8,23,93,32
13,Kilometre,Burna Boy,37,13,35,32,26,58,33.5
14,CELEBRATE ME,Patoranking,47,21,51,14,57,17,34.5
15,World,"Dangbana Republik, Bella Shmurda",19,51,16,18,27,87,36.33333333
16,Running (To You),"Chike, Simi",67,15,64,23,45,12,37.66666667
17,Godly,Omah Lay,66,19,63,54,56,21,46.5
18,Party Next Door,"Dangbana Republik, Bella Shmurda",11,43,9,192,10,22,47.83333333
19,FOR YOU,Teni,68,45,66,28,71,23,50.16666667
20,Somebody Baby,"Davido, Peruzzi",64,99,61,47,32,72,62.5
21,Cash App,"Bella Shmurda, Zlatan, Lincoln",93,60,89,59,97,30,71.33333333
22,Rock,Olamide,7,420,5,4,4,11,75.16666667
23,Bounce,Ruger,2,3,2,450,2,3,77
24,Lako,"Dangbana Republik, Bella Shmurda",30,27,25,19,41,325,77.83333333
25,Soldier Go,"Dangbana Republik, Bella Shmurda",26,52,21,30,37,325,81.83333333
26,Soundgasm,Rema,9,420,7,43,5,13,82.83333333
27,Big Thug Boys,AV,8,7,6,450,12,18,83.5
28,Rush,"Dangbana Republik, Bella Shmurda",21,69,19,36,38,325,84.66666667
29,Jailer,Olamide,31,29,30,17,80,325,85.33333333
30,Focus,Joeboy,53,8,54,16,62,325,86.33333333
31,Confident,"Savage, Buju",10,420,8,10,8,70,87.66666667
32,Bling,Blaqbonez,17,420,15,21,11,44,88
33,Champion,"Dangbana Republik, Bella Shmurda",34,47,28,46,55,325,89.16666667
34,Need For Speed,Olamide,51,10,48,20,86,325,90
35,Julie,Olamide,43,22,42,26,83,325,90.16666667
36,Show Me,Joeboy,20,5,18,450,35,24,92
37,It Is What It Is,Adekunle Gold,29,420,29,22,18,36,92.33333333
38,PonPon,Olamide,59,50,55,34,31,325,92.33333333
39,INJURE ME,Teni,71,34,67,25,300,77,95.66666667
40,Pronto,"Ajebo Hustlers, Omah Lay",36,98,34,45,36,325,95.66666667
41,Dimension (feat. Skepta & Rema),JAE5,18,46,17,450,13,38,97
42,Ke Star (Remix),"Focalistic, Davido",40,420,37,37,29,26,98.16666667
43,Ginger,Wizkid,27,420,27,49,44,41,101.3333333
44,HUSTLE,Teni,32,26,31,450,63,7,101.5
45,Forever (Remix),"Gyakie, Omah Lay",38,49,36,450,21,16,101.6666667
46,23,Burna Boy,57,64,56,65,50,325,102.8333333
47,Medicine,Jaywillz,23,16,22,450,59,55,104.1666667
48,Infinity,Olamide,91,9,86,56,69,325,106
49,The Best,Davido,62,89,60,72,54,325,110.3333333
50,Way Too Big,Burna Boy,65,48,62,70,108,325,113
51,High Way,"DJ Kaywise, Phyno",86,95,81,78,300,43,113.8333333
52,Hallelu,Masterkraft,74,420,71,41,33,48,114.5
53,Body (Remix),"Tion Wayne, Russ Millions",55,420,53,77,42,45,115.3333333
54,Bad Influence,Omah Lay,89,70,82,76,73,325,119.1666667
55,Early Momo,Vector,46,420,44,88,70,63,121.8333333
56,KPK (Ko Por Ke),"Rexxie, MohBad",88,420,80,73,46,34,123.5
57,KOLO,Ice Prince,63,420,59,94,61,73,128.3333333
58,Cup of Tea,Olamide,92,93,85,51,126,325,128.6666667
59,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,84,55,76,450,49,75,131.5
60,Somebody,Olamide,54,23,50,38,300,325,131.6666667
61,Felony,CKay,35,420,33,52,20,325,147.5
62,Selense,The Cavemen.,103,76,102,207,104,325,152.8333333
63,All,Rexxie,50,420,46,48,47,325,156
64,Tonongo,"Lojay, Sarz",22,420,20,103,58,325,158
65,LV N ATTN,"Lojay, Sarz",25,420,24,149,22,325,160.8333333
66,Late At Night,Roddy Ricch,48,420,47,63,64,325,161.1666667
67,Monalisa,"Lojay, Sarz",6,420,4,450,28,59,161.1666667
68,Clash (feat. Stormzy),"Dave, Stormzy",28,420,26,450,19,33,162.6666667
69,Kilofeshe,Zinoleesky,82,420,73,44,43,325,164.5
70,Southy Love,Peruzzi,44,420,43,99,90,325,170.1666667
71,Omo X 100,Reminisce,95,420,91,35,65,325,171.8333333
72,La La (feat. CKay),Davido,39,420,38,450,68,27,173.6666667
73,Oliver Twist,ArrDee,79,420,68,450,24,79,186.6666667
74,Real Life,Burna Boy,83,420,74,101,120,325,187.1666667
75,Motley Crew,Post Malone,80,420,93,450,51,37,188.5
76,Too Correct,Crayon,375,31,350,40,300,76,195.3333333
77,Door,Joeboy,375,32,350,85,300,74,202.6666667
78,Korope,Lil Kesh,375,30,350,50,91,325,203.5
79,Tycoon,Show Dem Camp,81,420,94,209,105,325,205.6666667
80,Frenemies,Rexxie,52,420,45,102,300,325,207.3333333
81,PEPE,L.A.X & Davido,375,33,350,89,79,325,208.5
82,Ayewada,Barry Jhay,94,420,90,24,300,325,208.8333333
83,If You No Love,Chike,375,61,350,119,300,52,209.5
84,Abule,Patoranking,375,56,350,144,300,42,211.1666667
85,Money & Laughter,"BOJ, Zamir, Amaarae",58,87,52,450,300,325,212
86,Testimony,Buju,102,420,104,219,102,325,212
87,No Stress,Wizkid,73,420,72,95,300,325,214.1666667
88,Blessed (feat. Damian Marley),Wizkid,33,420,32,450,53,325,218.8333333
89,Abu Dhabi,Ruger,41,420,41,450,39,325,219.3333333
90,Baba Nla,"Dr Dolor, Buju",90,420,83,120,300,325,223
91,Bounse,Rema,60,420,350,450,30,29,223.1666667
92,Music Messiah,DJ Neptune,375,78,350,108,106,325,223.6666667
93,Smile,Wizkid,98,420,99,107,300,325,224.8333333
94,Loved By You (feat. Burna Boy),Justin Bieber,61,420,58,450,40,325,225.6666667
95,Bank On It,Burna Boy,49,420,49,450,300,97,227.5
96,RAPSTAR,Polo G,78,420,65,450,48,325,231
97,WHOLE LOTTA MONEY,"BIA, Nicki Minaj",85,420,79,450,300,56,231.6666667
98,Olofofo,Victor AD,375,17,350,31,300,325,233
