rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
301,Love,Davolee,375,420,350,180,300,325,325.0
302,20 10 20,Burna Boy,375,420,350,181,300,325,325.1666666666667
303,Sai dake,Hamisu Breaker,375,420,350,450,300,58,325.5
304,Ladipoe Ft. Buju,Feelings (Cover By Abami OG) - Abami OG,375,420,350,183,300,325,325.5
305,Have Fun,Bad Boy Timz,375,420,350,184,300,325,325.6666666666667
306,Arojinle,Adeyinka Alaseyori,375,420,350,450,300,60,325.8333333333333
307,Aye Ope yo,Adeyinka Alaseyori,375,420,350,450,300,61,326.0
308,365 Days,OmartheDJ,375,420,350,186,300,325,326.0
309,Dama,Namenj & Hamisu Breaker,375,420,350,450,300,62,326.1666666666667
310,Beamer (Bad Boys),Rema,375,420,350,187,300,325,326.1666666666667
311,Z Look Jamaican,Kodak Black,375,420,350,188,300,325,326.3333333333333
312,Splash,Tyga,375,420,350,189,300,325,326.5
313,Viral Moment,Lil Durk,375,420,350,191,300,325,326.8333333333333
314,ONEMMENMA (Live),Mercy Chinwo & Chioma Jesus,375,420,350,450,300,67,327.0
315,Duduke (French),Simi and Deja,375,420,350,192,300,325,327.0
316,Tomorrow,Illest ft Seyi vibez,375,420,350,194,300,325,327.3333333333333
317,a m a r i,J. Cole,375,420,350,450,45,325,327.5
318,Good Woman,Flavour,375,420,350,450,300,70,327.5
319,Turn Myself In,Lil Durk,375,420,350,195,300,325,327.5
320,Iron Man,Rema,375,420,350,196,300,325,327.6666666666667
321,Emperor ft Guchi,Jennifer - Emperor,375,420,350,197,300,325,327.8333333333333
322,Euphoria,PsychoYP,375,420,350,198,300,325,328.0
323,Black Woman,Vybz Kartel,375,420,350,199,300,325,328.1666666666667
324,Runaway,AURORA,375,420,350,450,52,325,328.6666666666667
325,Tattoo,Fireboy DML,375,420,350,202,300,325,328.6666666666667
326,Thunder Fire You,Ric Hassani,375,420,350,203,300,325,328.8333333333333
327,Fingers Crossed,Trevor Daniel & Julia Michaels,375,420,350,204,300,325,329.0
328,No Lele,Wizkid,375,420,350,206,300,325,329.3333333333333
329,Astronaut In The Ocean,Masked Wolf,375,420,350,450,57,325,329.5
330,GANI A SO,Zainab Ambato,375,420,350,450,300,83,329.6666666666667
331,Pakurumo,Wizkid,375,420,350,208,300,325,329.6666666666667
332,Why So Serious,Dax,375,420,350,209,300,325,329.8333333333333
333,Wrong Road,Kevo Muney,375,420,350,210,300,325,330.0
334,Labarin Zuciya (Live),Rahab saleem,375,420,350,450,300,85,330.0
335,Angles,Wale,375,420,350,211,300,325,330.1666666666667
336,Calling My Phone,"Lil Tjay, 6lack",375,420,350,450,62,325,330.3333333333333
337,How It Feels,Lil Baby & Lil Durk,375,420,350,450,300,87,330.3333333333333
338,Nothing To Me,"Young Dolph, Snupe Bandz, PaperRoute Woo",375,420,350,213,300,325,330.5
339,Feelin' Peachy,Kodak Black,375,420,350,214,300,325,330.6666666666667
340,Ntashinda,Diamond Platnumz,375,420,350,215,300,325,330.8333333333333
341,Million Little Miracles,Elevation Worship & Maverick City Music,375,420,350,450,300,90,330.8333333333333
342,Fendi (feat. Joeboy),"Blaqbonez, Joeboy",375,420,350,450,66,325,331.0
343,Sika,Sista Afia,375,420,350,216,300,325,331.0
344,Yadda Kunne Yaji,Hamisu Breaker,375,420,350,450,300,92,331.1666666666667
345,Rather Be Myself,Russ,375,420,350,217,300,325,331.1666666666667
346,Temperature,"Unfoonk, Young Stoner Life",375,420,350,218,300,325,331.3333333333333
347,Song of Angels (Ndi Mo Zi),Judikay,375,420,350,219,300,325,331.5
348,Giving Up,Yungeen Ace,375,420,350,220,300,325,331.6666666666667
349,Serious,"DJ pH featuring Cassper Nyovest, Lady Du and Makwa",375,420,350,221,300,325,331.8333333333333
350,LUCKY,Russ,375,420,350,222,300,325,332.0
351,Adore You,Bizzy Banks,375,420,350,223,300,325,332.1666666666667
352,Koroba,Tiwa Savage,375,420,350,450,300,99,332.3333333333333
353,Can You,SHATTA WALE,375,420,350,224,300,325,332.3333333333333
354,Cut Soap,Fiokee & Raybekah,375,420,350,225,300,325,332.5
355,Flamerz Flow,Meek Mill,375,420,350,226,300,325,332.6666666666667
356,m y . l i f e,"J. Cole, 21 Savage, Morray",375,420,350,450,76,325,332.6666666666667
357,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",375,420,350,450,77,325,332.8333333333333
358,Body Riddim,Runtown,375,420,350,227,300,325,332.8333333333333
359,More Than Gold,Judikay,375,420,350,228,300,325,333.0
360,ROCKSTAR,"DaBaby, Roddy Ricch",375,420,350,450,82,325,333.6666666666667
361,Sere (Remix),"Spinall, Fireboy Dml, 6lack",375,420,350,450,83,325,333.8333333333333
362,Lemonade,"Internet money, Gunna, Don Toliver, NAV",375,420,350,450,85,325,334.1666666666667
363,Dior,Pop Smoke,375,420,350,450,86,325,334.3333333333333
364,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",375,420,350,450,100,325,336.6666666666667
365,Blinding Lights,The Weeknd,375,420,350,450,102,325,337.0
366,All In,"Nasty C, T.I.",375,420,350,450,123,325,340.5
367,SUN GOES DOWN,Lil Nas X,375,420,350,450,125,325,340.8333333333333
368,Anyone,Justin Bieber,375,420,350,450,126,325,341.0
369,6am in Brighton,ArrDee,375,420,350,450,130,325,341.6666666666667
370,Arch Angel 222,Diamondxx,375,420,350,450,132,325,342.0
371,Wow,Tion Wayne,375,420,350,450,133,325,342.1666666666667
372,lovely,"Billie Eilish, Khalid",375,420,350,450,134,325,342.3333333333333
